Unnamed: 0,번호,제목,저자,출판사,출판일
,14,Job Satisfaction of Certified Nursing Assistants and Its Influence on the General Satisfaction of Nursing Home Residents: An Exploratory Study in Southern Taiwan,"Liu, L. F.","Elsevier Science B.V., Amsterdam",2007
,15,Job separations in the UK An updated analysis of voluntary and involuntary job separations and the labour market factors that influence these,"Heap, D.",HIGHBURY HOUSE COMMUNICATIONS PLC,2005
,16,Job satisfaction of Japanese career women and its influence on turnover intention,"Honda-Howard, M.",ASIAN ASSOCIATION OF SOCIAL PSYCHOLOGY AND THE,2001
,17,The influence of transformational leadership on workplace relationships and job performance,"Li, C.-K.; Hung, C.-H.",SOCIETY FOR PERSONALITY RESEARCH,2009
,18,The Influence of the Practice Environment on Nurse Managers’ Job Satisfaction and Intent to Leave,"Warshawsky, Nora E.; Wiggins, Amanda T.; Rayens, Mary Kay",Lippincott Williams & Wilkins,2016
,19,The Influence of Positive and Negative Affectivity on Reported Job Satisfaction Among Practicing Pharmacists,"Hardigan, P. C.",PHARMACEUTICAL PRODUCTS PRESS,2001
,20,The Influence of Emotional Dissonance on Subjective Health and Job Satisfaction: Testing the Stress   Strain   Outcome Model,"Cheung, F.; Tang, C.",Blackwell Publishing Ltd,2010
,21,The influence of change-oriented leadership on work performance and job satisfaction in hospitals – the mediating roles of learning demands and job involvement,"Mikkelsen, Aslaug; Olsen, Espen",Emerald Group Publishing Limited,2018
,22,The Influence of Task-Technology Fit and Habitual Use on Job Performance in Indonesian Education Industry: Innovative Work Behavior as a Moderator,Khairani Ratnasari Siregar ; Cheng-Ling Tan,American Scientific Publishers,2017
,23,The influence of change-oriented leadership on work performance and job satisfaction in hospitals – the mediating roles of learning demands and job involvement,"Mikkelsen, Aslaug; Olsen, Espen",Emerald Group Publishing Limited,2019
,24,"The influence of spiritual leadership on spirituality, conscientiousness and job satisfaction and its impacts on the reduction of workplace deviant behavior","Prihandono, Dorojatun; Wijayanto, Andhi",Emerald Publishing Group Ltd,2020
,25,The Influence of Justice on Commitment of Pakistani Bankers: Job Satisfaction as Mediator,"Safdar, Samyia; Liu, Shimin",Taylor & Francis,2020
,26,The Influence of Emotional Labor and Emotional Intelligence on Job Performance: Does Ownership Type Matter? A Comparison of Public and Private Organizations in China,"Ma, Shaozhuang; Silva, Maria Gabriela; Trigo, Virginia; Callan, Victor J.",Taylor & Francis,2020
,27,The Influence of Office Romances on Co-workers' Perceptions of Job Competence,"Gemeinhardt, G.","Southwest Division, Academy of Management",1993
,28,The influence of red on impression formation in a job application context,"Maier, M. A.; Elliot, A. J.; Lee, B.; Lichtenfeld, S.; Barchfeld, P.; Pekrun, R.",Springer Science + Business Media,2013
,29,The Influence of Communication Structure and Social Support on Job Stress and Burnout.,"Ray, Eileen Berlin;Miller, Katherine I.",Sage Publications,1991
,30,The influence of forest view through a window on job satisfaction and job stress,"Shin, W. S.",Taylor & Francis,2007
,31,Inside Job or Deep Impact? Extramural Citations and the Influence of Economic Scholarship,"Angrist, Josh; Azoulay, Pierre; Ellison, Glenn; Hill, Ryan; Lu, Susan Feng",AMERICAN ECONOMIC ASSOC,2020
,32,"Exploring the Influence of Self-Efficacy, School Context and Self-Esteem on Job Burnout of Iranian Muslim Teachers: A Path Model Approach","Bayani, Ali Asghar; Baghery, Hossine",Springer Nature,2018
,33,The causal influence of increasing the statutory retirement age on job satisfaction among older workers in the Netherlands,"Pilipiec, Patrick; Groot, Wim; Pavlova, Milena",Taylor & Francis,2021
,34,"Evaluating Curricular Influence on Preparation for Practice, Career Outcomes, and Job Satisfaction: Results From an Alumni Survey of a 40-Year Rehabilitation and Mental Health Counseling Program","Smith, T.J.; Reid, J.A.; Ryan, H.G.; Dixon, C.G.; Wright, T.J.",ELLIOTT & FITZPATRICK,2013
,35,"An Examination of the Influence of Human Resource Practices, Organizational Commitment and Job Satisfaction on Work Performance","Wimalasiri, J. S.",INTERNATIONAL JOURNAL OF MANAGEMENT,1995
,36,Withholding the Wandering Mind: Examining the Influence of Mindfulness on Employees' Life Satisfaction and Job Involvement,"Gupta, Priya; Singh, Seema",INDIAN ACADEMY OF APPLIED PSYCHOLOGY,2019
,37,Advancing case manager motivation in child welfare: Job control's curvilinear relationship and instrumental feedback's moderating influence,"Preston, Mark S.",Pergamon Press.,2013
,38,"Bringing Social Identity to Work: The Influence of Manifestation and Suppression on Perceived Discrimination, Job Satisfaction, and Turnover Intentions","Madera, J.M.; King, E.B.; Hebl, M.R.",American Psychological Association,2012
,39,To understand how big names have become top influence peddlers without ever claiming lobbyist as their job description,"Adams, R.",CONGRESSIONAL QUARTERLY INC,2012
,40,Does moonlighting influence South African nurses' intention to leave their primary jobs?,"Rispel, Laetitia C.; Chirwa, Tobias; Blaauw, Duane",Taylor & Francis,2014
,41,"Job satisfaction among Iranian hospital-based practicing nurses: examining the influence of self-expectation, social interaction and organisational situations","RAVARI, A.; BAZARGAN, M.; VANAKI, Z.; MIRZAEI, T.",Blackwell Publishing Ltd,2012
,42,"Influence of toxic and transformational leadership practices on nurses' job satisfaction, job stress, absenteeism and turnover intention: A cross‐sectional study","Labrague, Leodoro J.; Nwafor, Chidozie E.; Tsaras, Konstantinos",John Wiley & Sons Ltd,2020
,43,Job Behaviour and Attitudes of Agricultural Faculty: Beyond the Influence of Biographical Factors,"Ladebo; Olugbenga, J.",UNKNOWN,2004
,44,Influence of female managers' emotional display on frontline employees' job satisfaction: a cross-level investigation in an emerging economy,"Mehmood, Khalid; Li, Yan; Jabeen, Fauzia; Khan, Ali Nawaz; Chen, Shouming; Khalid, Gulfam Khan",Emerald Group Publishing Limited,2020
,45,Influence of Organisational Climate and Locus of Control on Job Satisfaction and Turnover Intentions,"Afolabi, O. A.",IFE CENTRE FOR PSYCHOLOGICAL STUDIES,2005
,46,Job Behavior and Attitudes of Agricultural Faculty: Beyond the Influence of Biographical Factors,"Ladebo, O. J.",UNKNOWN,2004
,47,Influence of Perceived Co-Worker Involvement and Supervisory Support on Job Satisfaction,"Abayomi, O.A.; Etuk Aniebiet, S.; Nnedum Obiajulu, A.U.",IFE CENTRE FOR PSYCHOLOGICAL STUDIES,2011
,48,Influence of Perceived Co-worker Involvement and Supervisory Support on Job Satisfaction,"Okediji, A.A.; Etuk, A.S.",IFE CENTRE FOR PSYCHOLOGICAL STUDIES,2011
,49,"The Influence of Supervisor Undermining on Self-Esteem, Creativity, and Overall Job Performance: A Multiple Mediation Model","Eissa, Gabi; Chinchanachokchai, Sydney; Wyland, Rebecca",Taylor & Francis,2017
,50,The influence of future time perspective on work engagement and job performance: the role of job crafting,"Kooij, Dorien T.A.M.; Tims, Maria; Akkermans, Jos",Taylor & Francis,2017
,51,"The influence of organisational cultural values, reward, time, self-esteem and job security on knowledge sharing intentions among managers","Gupta, B.; Sharma, N.K.; Ganesh, C.",INDERSCIENCE,2009
,52,Alleviating job stress to improve service employee work affect: the influence of rewarding,"Elmadağ, Ayşe Banu; Ellinger, Alexander E.",Springer Nature,2017
,53,"The influence of spiritual leadership on quality of work life, job satisfaction and organizational citizenship behavior","Pio, Riane Johnly; Tampi, Johny Revo Elia",EMERALD GROUP PUBLISHING LIMITED,2018
,54,The Influence of Emotional Dissonance and Resources at Work on Job Burnout Among Chinese Human Service Employees,"Cheung, F. Y.-L.; Tang, C. S.-K.",Springer Science + Business Media,2007
,55,The Influence of Personal Engagement and Time Management on Employees’ Job Performance,"Omar, Khatijah ; Anuar, Marhana Mohamed ; Yaakop, Azizul Yadi ; Halim, Mohd Abi Sofian Abdul ; Harun, Madzli ; Hau, Tan Chi",American Scientific Publishers,2017
,56,The influence of the perception of a familial climate on job performance: Mediation of loyalty to supervisors and moderation of filial behaviour,"Jen, C.-K.; Chou, L.-F.; Lin, C.-Y.; Tsai, M.-C.",Taylor & Francis,2012
,57,Alleviating job stress to improve service employee work affect: the influence of rewarding,"Elmadağ, A. e.; Ellinger, A. E.",Springer Science + Business Media,2018
,58,Factors That Influence Pediatric Intensive Care Unit Nurses to Leave Their Jobs,"Foglia, D.C.; Grassley, J.S.; Zeigler, V.L.",ASPEN PUBLISHERS INC,2010
,59,"Why do gender, job stress, job satisfaction, perceived indoor air quality and VDT use influence reports of the Sick Building Syndrome in offices?","Hedge, A.;Erickson, W. A.;Rubin, G.",North-Holland,1992
,60,Does local political support influence financial markets? A study on the impact of job approval ratings of political representatives on local stock returns,"Joo, Sunghoon; Kim, Dong H.; Park, Jung Chul",Wiley-Blackwell,2020
,61,Exploring the Attenuating Influence of Organisational Communication and Restorative Strategy on Subjective Job Insecurity in Merged Banks,"Okurame, D.E.",IFE CENTRE FOR PSYCHOLOGICAL STUDIES,2014
,62,"The relation of personal resources, participation, influence, interpersonal relationships and coping strategies to occupational stress, job strains and health: A multivariate analysis","Israel, Barbara A.; House, James S.; Schurman, Susan J.; Heaney, Catherine A.; Mero, Richard P.",Taylor and Francis,1989
,63,"`Quality isn't free' Three years after qualifying, Tom Cahill landed a job as a ward manager, sparking a desire to influence and make a difference from the top",unknown,RCN PUBLISHING,2009
,64,Data on perception of faculty members on the influence of faculty support initiatives on the efficacy of job responsibilities,"Falola, H.O.; Adeniji, A.A.; Osibanjo, A.O.; Oludayo, O.A.; Salau, O.P.","Elsevier Science B.V., Amsterdam",2018
,65,"Career Choice Intentions of Adolescents With a Family Business Background Research Question: What is the influence of personality traits, gender, identification with the business, job rewards, and parental succession preferences on the career choice intentions of adolescent next generational family members?","Schroder, E.; Schmitt-Rodermund, E.; Arnaud, N.",SAGE,2011
,66,"SNOW JOB? Using Denver as an example, Sasha Chavkin weighs the influence of the campaign-ad windfall on local TV broadcasters",unknown,COLUMBIA UNIVERSITY,2013
,67,Influence Of The Leaders' Emotionally Intelligent Behaviours On Their Employees' Job Satisfaction,"Singh, P.",WESTERN ACADEMIC PRESS INC,2013
,68,The Influence of Manager and Peer Caring Behaviors on Registered Nurses' Job Satisfaction and Intent To Stay,"Longo, J.",INTERNATIONAL ASSOCIATION FOR HUMAN CARING,2008
,69,The influence of type A behaviour and locus of control upon job satisfaction and occupational health,"Kirkcaldy, B. D.; Shephard, R. J.; Furnham, A. F.","Elsevier Science B.V., Amsterdam.",2002
,70,The Influence of Social Networking Web Sites on the Evaluation of Job Candidates,"Bohnert, D.",Mary Ann Leibert Inc,2010
,71,The influence of financial participation and participation in decision-making on employee job attitudes,"Bakan, I.; Suseno, Y.; Pinnington, A.; Money, A.",ROUTLEDGE JOURNALS,2004
,72,The influence of personal and workplace resources on new graduate nurses' job satisfaction,"Pineau Stam, L. M.; Spence Laschinger, H. K.; Regan, S.; Wong, C. A.",Blackwell Publishing Ltd,2015
,73,The influence of business innovation with relationship of organizational learning and job satisfaction on market orientation,"Al Idrus, Salim; Ahmar, Ansari Saleh; Abdussakir, Abdussakir",Emerald,2019
,74,Exploring the Influence of the Regulatory Survey Process on Nursing Home Administrator Job Satisfaction and Job Seeking,"Holecek, T.; Dellmann-Jenkins, M.; Curry, D.",SAGE PUBLICATIONS LTD,2010
,75,Effects of Job Level and Participation on Employee Attitudes and Perceptions of Influence,"Hrebiniak,Lawrence G.",ACADEMY OF MANAGEMENT,1974
,76,Estimating the influence of crowding and travel time variability on accessibility to jobs in a large public transport network using smart card big data,"Arbex, Renato; Cunha, Claudio B.","Elsevier Science B.V., Amsterdam.",2020
,77,The mediating influence of role stressors in the relationship between mentoring and job attitudes,"Lankau, M. J.; Carlson, D. S.; Nielson, T. R.","Elsevier Science B.V., Amsterdam",2006
,78,"Effects of Supervisor Social Influence, Nonverbal Immediacy, and Biological Sex on Subordinates' Perceptions of Job Satisfaction, Liking, and Supervisor Credibility","Teven, J. J.",Taylor & Francis,2007
,79,To Switch or Not to Switch? The Influence of School Choice and Labor Market Segmentation on Teachers' Job Searches,"Jabbar, Huriya; Castro, Andrene; Germain, Emily",AERA AMERICAN EDUCATIONAL RESEARCH,2019
,80,An exploratory analysis of the influence of human resource management activities and organizational climate on job satisfaction in Turkish banks,"Kaya, N.; Koc, E.; Topcu, D.",Taylor & Francis,2010
,81,"More pay, more inequality? The influence of average wage levels and the racial composition of jobs on the Black-White wage gap","Huffman, M. L.","Elsevier Science B.V., Amsterdam",2004
,82,"Influence of Employees' Sex, Number of Dependants and Family Responsibility on Job Involvement","Ekore, J. O.; Onomerike, F.",IFE CENTRE FOR PSYCHOLOGICAL STUDIES,2004
,83,Influence of the Big Five Personality Traits of IT Workers on Job Commitment and Job Satisfaction,Hyo Jung Kim; Paikho Rho,International Information Institute,2017
,84,Influence of organizational characteristics and caring attributes of managers on nurses' job enjoyment,"Wade, G. H.; Osgood, B.; Avino, K.; Bucher, G.; Bucher, L.; Foraker, T.; French, D.; Sirkowski, C.",Blackwell Publishing Ltd,2008
,85,Influence of high performance work systems on employee subjective well-being and job burnout empirical evidence from the Chinese healthcare sector,"Fan, D.; Cui, L.; Zhang, M.M.; Zhu, C.J.; Hartel, C.E.J.; Nyland, C.",Taylor & Francis,2014
,86,The Influence of Personality Traits on Life Satisfaction Through Work Engagement and Job Satisfaction among Academic Faculty Members,"Blatný, M.; Šolcová, I.; Květon, P.; Jelínek, M.; Zábrodská, K.; Mudrák, J.; Machovcová, K.",SLOVAK ACADEMIC PRESS,2018
,87,The Influence of Creative Process Engagement on Employee Creative Performance and Overall Job Performance: A Curvilinear Assessment,"Zhang, X.; Bartol, K.M.",APA AMERICAN PSYCHOLOGICAL ASSOCIATION,2010
,88,The influence of team social media usage on individual knowledge sharing and job performance from a cross-level perspective,"Cui, Xiling; Huo, Baofeng; Lei, Yang; Zhou, Qiang",Emerald Group Publishing Limited,2019
,89,"The influence of achievement before, during and after medical school on physician job satisfaction","Schmit Jongbloed, L. J.; Schönrock-Adema, J.; Borleffs, J. C.; Stewart, R. E.; Cohen-Schotanus, J.",Springer Science + Business Media,2014
,90,The influence of organizational and functional support on the development of salesperson job satisfaction,"Pomirleanu, Nadia; John Mariadoss, Babu",Taylor and Francis,2015
,91,The Influence of Intergroup Comparisons on Africans' Intelligence Test Performance in a Job Selection Context,"Klein, O.; Pohl, S.; Ndagijimana, C.",HELDREF PUBLICATIONS - HELEN DWIGHT REID,2007
,92,"Perceived influence of work relationship, work load and physical work environment on job satisfaction of librarians in South-West, Nigeria","Anasi, Stella Ngozi",Emerald Publishing,2020
,93,The influence of conflict centrality and task interdependency on individual performance and job satisfaction,"Jen, C.T.",Emerald Group Publishing Ltd,2013
,94,The influence of transformational leadership on organisational citizenship behaviour when mediated by job involvement and organisational commitment: evidences from India,"Biswas, S.",INDERSCIENCE ENTERPRISES LTD,2013
,95,The Mediating Influence of Fit Perceptions in the Relationship Between Career Adaptability and Job Content and Hierarchical Plateaus,"Shabeer, Sobia; Mohammed, Shawn J.; Jawahar, I. M.; Bilal, Ahmad Raza",Springer Nature,2019
,96,"Anticipatory Socialization in the Information Age: The Influence of Television, Movies, and the Internet on Perceptions of international Job Assignments","Williams, B. E.",unknown,2000
,97,A proposed framework for assessing the influence of internal corporate social responsibility belief on employee intention to job continuity,"Sanusi, Fasilat Aramide; Johl, Satirenjit Kaur","John Wiley & Sons, Ltd",2020
,98,"Influence of Lifestyle Parameters – Dietary Habit, Chronic Stress and Environmental Factors, Jobs – on the Human Health in Relation to the COVID-19 Pandemic","Aydemir, Duygu; Ulusu, Nuriye Nuray","Lippincott, Williams & Wilkins : American Medical Association",2020
,99,Job Loss and Broken Partnerships: Do the Number of Stressful Life Events Influence the Risk of Ischemic Heart Disease in Men?,"Kriegbaum, M.; Christensen, U.; Lund, R.; Prescott, E.; Osler, M.","Elsevier Science B.V., Amsterdam.",2008
,100,Influence of Employees' Attachment Styles on Their Life Satisfaction as Mediated by Job Satisfaction and Burnout,"Reizer, Abira",Taylor & Francis,2015
,1,Job Satisfaction Among Early School Leavers Working in the Trades and the Influence of Vocational Education in Schools,"Taylor, A.",CARFAX PUBLISHING,2002
,2,Influence of Teamwork on Health Care Workers' Perceptions About Care Delivery and Job Satisfaction,"Dahlke,  Sherry; Stahlke,  Sarah; Coatsworth-Puspoky,  Robin",SLACK INCORPORATED,2018
,3,Leader-level influence on motivating language: A two-level model investigation on worker performance and job satisfaction,"Mayfield, J.; Mayfield, M.",Emerald Group Publishing Ltd,2010
,4,The influence of the professionalism behaviour of nurses working in health institutions on job satisfaction,"elik, S.; Hisar, F.",Blackwell Publishing Ltd,2012
,5,"The influence of work characteristics, emotional display rules and affectivity on burnout and job satisfaction: A survey among geriatric care workers","Rouxel, Géraldine; Michinov, Estelle; Dodeler, Virginie","Elsevier Science B.V., Amsterdam.",2016
,6,The influence of organizational justice and decision latitude on expatriate organizational commitment and job performance,"AlMazrouei, Hanan; Zacca, Robert",Emerald,2021
,7,"The influence of work characteristics, emotional display rules and affectivity on burnout and job satisfaction: A survey among geriatric care workers","Rouxel, Géraldine; Michinov, Estelle; Dodeler, Virginie","Elsevier Science B.V., Amsterdam.",2016
,8,"POLICE CYNICISM, JOB SATISFACTION, AND WORK RELATIONS OF POLICE CHIEFS: AN ASSESSMENT OF THE INFLUENCE OF DEPARTMENT SIZE","Regoli, Robert M.",North Central Sociological Association,1989
,9,"Praise matters: the influence of nurse unit managers' praise on nurses' practice, work environment and job satisfaction: a questionnaire study","Sveinsdttir, H.; Ragnarsdttir, E. D.; Blndal, K.",Wiley- Blackwell,2016
,10,The Mediating Influence of Conflict Between Work and Family Domains on the Role Stress - Job Satisfaction Relationship,"Boles, J. S.; Babin, B. J.",AMA,1994
,11,What's in a Name? Some words sound like what they mean. And they could influence everything from fictional depictions of aliens to your first impression on a job application,"Adam, David",DISCOVER,2021
,12,Influence of the Work-Family Relationship on Perceived Health 5-Years Later: The Moderating Role of Job Insecurity,"Bandeira, Rita; Chambel, Maria José; Carvalho, Vânia Sofia",Springer,2021
,13,The influence of age on the associations between HR practices and both affective commitment and job satisfaction: A meta   analysis,"Kooij, D. T.; Jansen, P. G.; Dikkers, J. S.; De Lange, A. H.","John Wiley & Sons, Ltd",2010
,14,"The Influence Of Employee Empowerment, Ethical Climate, Organisational Support And Top Management Commitment On Employee Job Satisfaction. A Case Of Companies In The Gauteng Province Of South Africa","Chinomona,  Elizabeth; Popoola,  Babatunde A.; Imuezerua,  Emmanuel",JOURNAL OF APPLIED BUSINESS RESEARCH,2017
,15,"The influence of authentic leadership and empowerment on nurses- relational social capital, mental health, and job satisfaction over the first year of practice","Read, E. A.; Laschinger, H. K.",Blackwell Publishing Ltd,2015
,16,The influence of firm characteristics and demographic variables on Russian retail workers' work motivation and job attitudes,"Huddleston, P.; Good, L.; Frazier, B.",ROUTLEDGE,2002
,17,"The Influence of Religious Personal Identity on the Relationships Among Religious Dissimilarity, Value Dissimilarity, and Job Satisfaction","Cunningham, G. B.",Springer Science + Business Media,2010
,18,The Influence of Early Childhood Educators on the Continuing Education Awareness and Career Attitude on Job Satisfaction -With a Focus on U City-,So-Jeong Shin; Sung-Je Cho,International Information Institute,2015
,19,"THE NEUROTIC EMPLOYEE: THEORETICAL ANALYSIS OF THE INFLUENCE OF NARROW FACETS OF NEUROTICISM ON COGNITIVE, SOCIAL, AND BEHAVIORAL PROCESSES RELEVANT TO JOB PERFORMANCE","Slaughter, J.E.; Kausel, E.E.",JAI PRESS INC.,2009
,20,"Influence of Forward Head Posture on Myotonometric Measurements of Superficial Neck Muscle Tone, Elasticity, and Stiffness in Asymptomatic Individuals With Sedentary Jobs","Kocur, Piotr; Wilski, Maciej; Goliwąs, Magdalena; Lewandowski, Jacek; Łochyński, Dawid","Elsevier Science B. V., Amsterdam",2019
,21,The Influence of Workplace Factors on Cognitive Function as Measured by Neurobehavioral Tests in Automotive Workers: Part I. Cumulative Fatigue Effects of Overtime. Part II. Job Strain Effects of Machine-Paced Work,"Proctor, S. P.; White, R. F.; Robins, T. G.; Echeverria, D.",NTIS,1995
,22,"The Influence of Peer, Family, and School Relationships in Substance Use Among Participants in a Youth Jobs Program","Atkinson, J. S.; Richard, A. J.; Carlson, J. W.",THE HAWORTH PRESS,2001
,23,"The influence of budgetary participation by R&D managers on product innovation performances: The effect of trust, job satisfaction and information asymmetry","Kuo-Chih, Cheng; Tsung-Cheng, Chen; Nien-Su, Shih",unknown,2014
,24,"The influence of supervisory support, work effectiveness, work empowerment and stress secondary to residents' responsive behaviours on job satisfaction of nursing staff: A multisite cross‐sectional study","Rodríguez‐Monforte, Míriam; Bethell, Jennifer; Stewart, Steven; Chu, Charlene H.; Escrig‐Pinol, Astrid; Gea‐Sánchez, Montserrat; McGilton, Katherine S.",John Wiley & Sons Ltd,2021
,25,The influence of restaurant co-workers' perceived warmth and competence on employees' turnover intentions: The mediating role of job attitudes,"Bufquin, Diego; DiPietro, Robin; Orlowski, Marissa; Partlow, Charles","Elsevier Science B.V., Amsterdam.",2017
,26,The Influence of Indirect Knowledge of Previous Performance on Ratings of Present Performance: The Effects of Job Familiarity and Rater Training,"Reilly, S. P.",EUROSPAN LTD,1998
,27,The influence of restaurant co-workers’ perceived warmth and competence on employees’ turnover intentions: The mediating role of job attitudes,"Bufquin, Diego; DiPietro, Robin; Orlowski, Marissa; Partlow, Charles","Elsevier Science B.V., Amsterdam.",2017
,28,"Harry Reid's Second Job as a Cattle Rustler ``[The Senate Majority Leader] epitomizes the worst in politics today, as he employs his public office for private gain, and is willing to destroy the lives of others to advance his interests, as well as to use the clout of his office to influence the conduct and actions of [the Bureau of Land Management].''","Emord, J.W.","SOCIETY FOR THE ADVANCEMENT OF EDUCATION, INC.",2014
,29,An Analysis of the Influence of the Written Communication Quality of the Social Networking Site Comments Made By Others on the Recruiters' Evaluation of Job,"Parrish, J.; Hammer, B.",Logan; Western Decision Sciences Institute,2014
,30,Factors Influencing Job Satisfaction of New Graduate Nurses Participating in Nurse Residency Programs: A Systematic Review,"Lin, P.S.; Viscardi, M.K.; McHugh, M.D.",SLACK INCORPORATED,2014
,31,Factors influencing job satisfaction of oncology nurses over time,"Cummings, G.; Olson, K.; Raymond-Seniuk, C.; Lo, E.; Masaoud, E.; Bakker, D.; Fitch, M.; Green, E.; Butler, L.; Conlon, M.",THE CANADIAN ASSOCIATION OF NURSES IN ONCOLOGY,2013
,32,Factors Influencing Job Satisfaction Among PHC Physicians in Qatar,"Marri, S. A.",MINISTRY OF PUBLIC HEALTH & HAMED MEDICAL CORPORATION,2002
,33,Factors influencing job satisfaction among state conservation officers,"Eliason, S. L.",Emerald Group Publishing Limited,2006
,34,Factors influencing job attainment in recent Bachelor graduates: evidence from Australia,"Jackson, D.",Springer Science + Business Media,2014
,35,Factors Influencing Job Satisfaction Among Nurses of Pafos General Hospital in Cyprus,"Nikolaou, M.; Latsou, D.; Geitona, M.","Elsevier Science B.V., Amsterdam",2014
,36,Factors influencing job performance of nursing staff,"Sharma, Jyoti; Dhar, Rajib Lochan",Emerald Group Publishing Limited,2016
,37,Factors Influencing Job Satisfaction Among Non-Executive Employees in a Financial Institution in Malaysia,Idaya Husna Mohd ; Maimunah Mohd Shah ; Muhamad Khalil Omar ; Muhammad Asri Ismail,American Scientific Publishers,2018
,38,"Factors Influencing Job Satisfaction Among PHC Physicians in Riyadh, Saudi Arabia","Kalantan, K. A.",KING FAISAL SPECIALIST HOSPITAL & RESEARCH CENTRE,1999
,39,Factors Influencing Job Choice among Agricultural Economics Professionals,"McGraw, K.; Popp, J.S.; Dixon, B.L.; Newton, D.J.",SOUTHERN AGRICULTURAL ECONOMICS ASSOCIATION,2012
,40,Factors influencing job satisfaction amongst plastic surgical trainees: experience from a regional unit in the United Kingdom,"Nassab, R.",Springer Science + Business Media,2008
,41,Factors influencing job satisfaction of medical representatives in Pakistan,"Ahmad, M.; Akhtar, N.; Ibrahim, M.B.; Murtaza, G.",BEIJING MEDICAL UNIVERSITY,2010
,42,Factors influencing job loss and early retirement in working men with prostate cancer—findings from the population-based Life After Prostate Cancer Diagnosis (LAPCD) study,"Bennett, Damien; Kearney, Therese; Donnelly, David W.; Downing, Amy; Wright, Penny; Wilding, Sarah; Wagland, Richard; Watson, Eila; Glaser, Adam; Gavin, Anna",Springer Nature,2018
,43,Factors Influencing Job Choice,"Athanasou, J. A.",Kluwer Academic Publishers,2003
,44,"Factors influencing job satisfaction among registered nurses: a questionnaire survey in Mashhad, Iran","Atefi, N.; Lim Abdullah, K.; Wong, L. P.; Mazlom, R.",Wiley-Blackwell,2015
,45,Factors influencing job satisfaction of front line nurse managers: a systematic review,"LEE, H.; CUMMINGS, G. G.",Blackwell Publishing Ltd,2008
,46,"Factors Influencing Job Performance: Organizational Learning Culture, Cultural Intelligence, and Transformational Leadership","Nam, Kyoung‐Ah; Park, Sunyoung",John Wiley & Sons Ltd,2019
,47,"Factors Influencing Job Satisfaction of Student Employees of a Recreational Sports Department at a Large, Four-Year Public Institution: A Case Study","Kellison, T.B.; James, J.D.",NIRSA FOUNDATION,2011
,48,Factors influencing job satisfaction in transitional economies,"Mihajlovic, I.; Zivkovic, Z.; Prvulovic, S.; Strbac, N.; Zivkovic, D.",BRAYBROOK PRESS LTD,2008
,49,Factors Influencing Job Satisfaction And Organizational Commitment,"Watson, L.M.",AMERICAN SOCIETY OF RADIOLOGIC TECHNOLOGISTS,2008
,50,How job stress influences job performance among Chinese healthcare workers: a cross-sectional study,"Deng, Jianwei; Guo, Yilun; Ma, Tengyang; Yang, Tianan; Tian, Xu",Springer Nature,2019
,51,Factors influencing job satisfaction in post-transition economies: the case of the Czech Republic,"Čábelková,  Inna; Abrhám,  Josef; Strielkowski,  Wadim",ABLEX PUBLISHING CORPORATION,2015
,52,FACTORS INFLUENCING JOB SATISFACTION OF NURSES IN PUBLIC HOSPITALS,"Dar,  Irum Sajjad; Ahsan-ul-Haq,  Muhammad; Quratulain,",PUBLICATIONS INTERNATIONAL,2015
,53,Factors influencing job productivity: a case study of the Kingdom of Saudi Arabia,"Hamad, Mahmood O.E.; Al-Kwifi, Osama Sam",Inderscience,2015
,54,Factors Influencing Job Satisfaction among Swedish Occupational Therapists in Psychiatric Care,"Eklund, M.",UNIVERSITETSFORLAGET,2000
,55,Factors Influencing Job Satisfaction On Specialty Nursing Units,"Freeman, T.",HEALTH MEDIA INC,1998
,56,Factors Influencing Job Satisfaction: A Study on the Technical Institutions in Chhattisgarh,"Jeswani, S.; Dave, S.; Praveer, S.R.","SJ, XLRI",2009
,57,Factors influencing job satisfaction among Jordanian occupational therapists: A qualitative study,"Tariah, H. S.; Hamed, R. T.; AlHeresh, R. A.; Abu-Dahab, S. M.; AL-Oraibi, S.",Blackwell Publishing Ltd,2011
,58,"Factors influencing job satisfaction of academic librarians in university libraries in Edo and Delta states, Nigeria","Oyovwe Tinuoye, Gloria O.; Omeluzor, Saturday U.; Akpojotor, Lucky Oji",Emerald Group Publishing Limited,2016
,59,Factors Influencing Job Satisfaction Among Long-Term Care Staff,"Doran, Kelly; Resnick, Barbara; Swanberg, Jennifer","Lippincott, Williams and Wilkins",2017
,60,How workplace incivility influences job performance: the role of image outcome expectations,"Jiang, Wenbo; Chai, Huaqi; Li, Yali; Feng, Taiwen",John Wiley & Sons Ltd,2019
,61,Professionalism: the major factor influencing job satisfaction among Korean and Chinese nurses,"Hwang, J. I.; Lou, F.; Han, S. S.; Cao, F.; Kim, W. O.; Li, P.",Blackwell Publishing Ltd,2009
,62,Generational differences in factors influencing job turnover among Japanese nurses: An exploratory comparative design,"Takase, M.; Oba, K.; Yamashita, N.","Elsevier Science B.V., Amsterdam.",2009
,63,Individual and Opportunity Factors Influencing Job Creation in New Firms,"Dencker, J.C.; Gruber, M.; Shah, S.K.",ACADEMY OF MANAGEMENT,2009
,64,Ethnic Groups and Father's Job Influencing Nutritional Status of Children (0–30 months) from Myanmar Migrant Community in Southern Thailand,"Lwin, Sann Wai Wai; Geater, Alan F.",Springer Nature,2019
